Item ID,Barcode,Description,Category,RRP New,Y,New Sell Inc
113020,9338475098415,APO PARACETAMOL 1-5YRS 200ML,FRONT / ANALGESICS / CHILDANALG,9.99,N,6.99
115849,9338475098408,APO PARACETAMOL 1M- 2YRS 20ML,FRONT / ANALGESICS / CHILDANALG,4.49,N,4.99
115850,9338475098422,APO PARACETAMOL 6-12YR 200ML,FRONT / ANALGESICS / CHILDANALG,9.99,N,8.99
33459,9331134927767,DYMADON 1MTH-2YRS ORANGE 60ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,6.49
51396,9331134928733,DYMADON 1MTH-2YRS STRAWBERRY 60ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,6.49
185775,9331134929884,DYMADON 2-12 YRS STRAWBERRY 100 ML,FRONT / ANALGESICS / CHILDANALG,9.95,N,8.99
15597,9331134927774,DYMADON 2-12YRS COLOUR-FREE LIQUID ORANGE 100ML,FRONT / ANALGESICS / CHILDANALG,9.95,N,8.99
12410,9331134927781,DYMADON 2-12YRS COLOUR-FREE LIQUID ORANGE 200ML,FRONT / ANALGESICS / CHILDANALG,16.95,N,13.49
51397,9331134928740,DYMADON 2-12YRS COLOUR-FREE LIQUID STRAWBERRY 200ML,FRONT / ANALGESICS / CHILDANALG,16.95,N,13.49
27473,93374231,PANAMAX 240MG ELIXIR 200ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,5.99
185690,9351791000948,TELFAST ALLERGY KIT 180MG TAB 30 + TELNASAL 140ML,FRONT / ANTIHISTAM,44.49,N,35.49
25765,9315195301377,ALBALON A EYE DROPS 15ML,FRONT / ANTIHISTAM / EYEDROPS,10.95,N,9.49
24625,93345118,NAPHCON-A EYE DROPS 15ML,FRONT / ANTIHISTAM / EYEDROPS,9.99,N,9.99
19705,9319099016672,ZADITEN EYE DROPS 5ML,FRONT / ANTIHISTAM / EYEDROPS,21.49,N,18.49
27936,9319099016696,ZADITEN EYE DROPS UD 0.4 MLX20,FRONT / ANTIHISTAM / EYEDROPS,22.49,N,18.49
47382,9300607490121,ZYRTEC EYE DROPS 4ML,FRONT / ANTIHISTAM / EYEDROPS,13.95,N,13.99
59736,9338475023523,APO CHILD HAYFEVER+ALLERGY RELIEF 100ML,FRONT / ANTIHISTAM / LIQUIDS,9.99,N,9.99
16099,9310160823465,CLARATYNE SYRUP GRAPE 120ML,FRONT / ANTIHISTAM / LIQUIDS,18.03,N,15.99
31750,9310160823458,CLARATYNE SYRUP GRAPE 60ML,FRONT / ANTIHISTAM / LIQUIDS,12.72,N,10.99
14565,9310160824042,CLARATYNE SYRUP PEACH 150ML,FRONT / ANTIHISTAM / LIQUIDS,20.49,N,17.99
192871,9350299007725,CO CHILDREN'S HAYFEVER ALLERGY RELIEF SYRUP 100ML,FRONT / ANTIHISTAM / LIQUIDS,12.49,N,13.49
11285,9319733001958,TELFAST CHILDRENS ELIXIR 150ML,FRONT / ANTIHISTAM / LIQUIDS,14.49,N,13.49
140187,9319733003877,TELFAST CHILDRENS ELIXIR 60 ML,FRONT / ANTIHISTAM / LIQUIDS,11.99,N,10.49
33677,9310059010204,ZYRTEC KIDS ORAL DROPS 20ML,FRONT / ANTIHISTAM / LIQUIDS,22.55,N,20.99
23423,9310059012000,ZYRTEC KIDS ORAL LIQUID 200ML,FRONT / ANTIHISTAM / LIQUIDS,23.95,N,20.99
17510,9310059017500,ZYRTEC KIDS ORAL LIQUID 75ML,FRONT / ANTIHISTAM / LIQUIDS,13.80,N,13.49
25906,9323610014511,BECONASE 12 HOUR X 200 SPRAY,FRONT / ANTIHISTAM / NASALSPRAY,14.95,N,12.99
163501,9333279000114,EZE ALLERGY NASAL SPRAY 10ML,FRONT / ANTIHISTAM / NASALSPRAY,18.95,N,14.99
153126,9317039002280,MEDIFESS VALUE PACK 140ML+30ML,FRONT / ANTIHISTAM / NASALSPRAY,27.95,N,20.49
19086,9310160824844,NASONEX ALLERGY 50MCG 140 DOSES,FRONT / ANTIHISTAM / NASALSPRAY,26.77,N,23.49
19575,9310160824837,NASONEX ALLERGY 50MCG 65 DOSES,FRONT / ANTIHISTAM / NASALSPRAY,16.26,N,15.49
51258,9310160824851,NASONEX TWIN PACK 2X140,FRONT / ANTIHISTAM / NASALSPRAY,47.37,N,38.49
181269,9300607580051,RHINOCORT 64MCG 120 DOSES S2,FRONT / ANTIHISTAM / NASALSPRAY,24.99,N,23.99
181441,9300607580105,RHINOCORT 64MCG 120 DOSES X2 TWIN PACK S2,FRONT / ANTIHISTAM / NASALSPRAY,44.89,N,38.99
25911,9300607580068,RHINOCORT HAYFEVER 32MCG 120 DOSES,FRONT / ANTIHISTAM / NASALSPRAY,21.99,N,19.99
137062,9300607580099,RHINOCORT HAYFEVER 32MCG 2X120 DOSES TWIN PACK,FRONT / ANTIHISTAM / NASALSPRAY,39.99,N,32.99
22813,9300607580075,RHINOCORT HAYFEVER 32MCG 60 DOSES,FRONT / ANTIHISTAM / NASALSPRAY,14.49,N,12.99
43993,9338475017768,SENSEASE MOMETASONE 50MCG 140 DOSES,FRONT / ANTIHISTAM / NASALSPRAY,19.99,N,12.49
185689,9351791000733,TELNASAL SPRAY 140ML,FRONT / ANTIHISTAM / NASALSPRAY,23.99,N,20.49
115874,9338475098668,APO CETIRIZINE HCL 10MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,8.99,N,8.99
115875,9338475098675,APO CETIRIZINE HCL 10MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,17.99,N,15.99
115876,9338475098682,APO CETIRIZINE HCL 10MG TAB 50,FRONT / ANTIHISTAM / TABLETSAND,24.99,N,22.49
115877,9338475098699,APO CETIRIZINE HCL 10MG TAB 70,FRONT / ANTIHISTAM / TABLETSAND,29.99,N,29.99
58288,9338475026890,APO FEXOFENADINE 180MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,8.99,N,7.99
113026,9338475026906,APO FEXOFENADINE 180MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,17.99,N,12.99
115881,9338475026913,APO FEXOFENADINE 180MG TAB 50,FRONT / ANTIHISTAM / TABLETSAND,24.99,N,22.49
115882,9338475026920,APO FEXOFENADINE 180MG TAB 70,FRONT / ANTIHISTAM / TABLETSAND,29.99,N,26.99
115883,9338475098750,APO LORATADINE 10MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,8.99,N,7.99
57898,9338475098767,APO LORATADINE 10MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,17.99,N,16.49
57899,9338475098774,APO LORATADINE 10MG TAB 50,FRONT / ANTIHISTAM / TABLETSAND,24.99,N,22.49
17908,4057599003567,CLARATYNE 10MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,12.62,Y,11.99
33998,4057599003574,CLARATYNE 10MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,27.28,N,26.49
28991,4057599003581,CLARATYNE 10MG TAB 60,FRONT / ANTIHISTAM / TABLETSAND,45.17,N,38.99
37173,4057599004939,CLARATYNE CHILD CHEWABLE 30 TABS,FRONT / ANTIHISTAM / TABLETSAND,32.95,N,27.99
28654,4057599004922,CLARATYNE CHILD CHEWABLE GRAPE TAB 10,FRONT / ANTIHISTAM / TABLETSAND,13.38,N,12.49
59038,4057599004953,CLARATYNE KIDS BUBBLEGUM 10,FRONT / ANTIHISTAM / TABLETSAND,13.38,N,12.49
11299,9321547135903,TELFAST 120MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,12.49,N,10.99
19077,9321547144110,TELFAST 120MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,26.95,N,19.99
34145,9321547136023,TELFAST 180MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,16.49,N,12.49
36346,9321547146213,TELFAST 180MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,29.99,N,21.99
15677,9319733003044,TELFAST 180MG TAB 60,FRONT / ANTIHISTAM / TABLETSAND,44.49,N,31.99
23812,9321547904431,TELFAST 60MG TAB 20,FRONT / ANTIHISTAM / TABLETSAND,11.99,N,9.49
20057,9310059010440,ZYRTEC 10MG TAB 10,FRONT / ANTIHISTAM / TABLETSAND,14.03,N,12.99
13659,9310059010464,ZYRTEC 10MG TAB 30,FRONT / ANTIHISTAM / TABLETSAND,29.95,N,28.99
13203,9310059010341,ZYRTEC 10MG TAB 50,FRONT / ANTIHISTAM / TABLETSAND,39.95,N,37.99
47396,9300607490145,ZYRTEC LIQUID CAPS 14,FRONT / ANTIHISTAM / TABLETSAND,23.59,N,19.99
185706,9300710008824,BOSISTOS HARMONY DIFFUSER,FRONT / AROMATHERA / AROMATHERA,39.95,Y,36.99
142493,9300710015525,BOSISTOS LAVENDER SOLUTION 250ML,FRONT / AROMATHERA / AROMATHERA,15.95,Y,13.99
38616,9300710001627,BOSISTOS LAVENDER SPRAY 125G,FRONT / AROMATHERA / AROMATHERA,12.00,Y,11.99
185697,9300710032324,BOSISTOS NATIVE BREATHE AROMA MIST 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185692,9300710041418,BOSISTOS NATIVE BREATHE OIL 15ML,FRONT / AROMATHERA / AROMATHERA,22.95,Y,18.99
185704,9300710000545,BOSISTOS NATIVE BREATHE ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185698,9300710033338,BOSISTOS NATIVE ENERGY AROMA MIST 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185693,9300710042422,BOSISTOS NATIVE ENERGY OIL 15ML,FRONT / AROMATHERA / AROMATHERA,22.95,Y,18.99
185705,9300710000552,BOSISTOS NATIVE ENERGY ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185700,9300710044105,BOSISTOS NATIVE FOCUS AROMA MIST 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185695,9300710044440,BOSISTOS NATIVE FOCUS OIL 15ML,FRONT / AROMATHERA / AROMATHERA,22.95,Y,18.99
185703,9300710000538,BOSISTOS NATIVE FOCUS ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185696,9300710031310,BOSISTOS NATIVE SLEEP AROMA MIST 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185691,9300710040404,BOSISTOS NATIVE SLEEP OIL 15ML,FRONT / AROMATHERA / AROMATHERA,22.95,Y,18.99
185701,9300710000514,BOSISTOS NATIVE SLEEP ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185699,9300710043108,BOSISTOS NATIVE STRESS AROMA MIST 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
185694,9300710043436,BOSISTOS NATIVE STRESS OIL 15ML,FRONT / AROMATHERA / AROMATHERA,22.95,Y,18.99
185702,9300710000521,BOSISTOS NATIVE STRESS ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
197886,9300710003041,EUKY BEAR BEE HAPPY BABY ESSENTIAL OIL BLEND 15ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
197887,9300710003034,EUKY BEAR CUDDLE CALM BABY ESSENTIAL OIL BLEND 15ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
197888,9300710004147,EUKY BEAR SLEEPY TIME BABY ESSENTIAL OIL BLEND 15ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
197889,9300710014153,EUKY BEAR SNIFFLY NOSE BABY ESSENTIAL OIL BLEND 15ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,15.99
197891,9300710009814,EUKY BEAR SWEET DREAMS SLEEP AID,FRONT / AROMATHERA / AROMATHERA,79.95,Y,72.99
